# li_ion_capacity PV_power SOFC_power SOEC_power battery_power load SoCH2 EMS_State net_power energy_deficit energy_loss
0.200000 0.000000 300.000000 0.000000 0.000000 126.317055 1.000000 4.000000 -126.317055 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 94.990371 0.995875 4.000000 -94.990371 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 88.927156 0.991750 4.000000 -88.927156 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 79.832357 0.987625 4.000000 -79.832357 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 82.863957 0.983501 4.000000 -82.863957 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 85.895557 0.979376 4.000000 -85.895557 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 90.948223 0.975251 4.000000 -90.948223 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 81.853424 0.971126 4.000000 -81.853424 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 69.727024 0.967001 4.000000 -69.727024 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 60.632225 0.962876 4.000000 -60.632225 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 80.842890 0.958751 4.000000 -80.842890 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 76.800757 0.954627 4.000000 -76.800757 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 78.821824 0.950502 4.000000 -78.821824 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 60.632225 0.946377 4.000000 -60.632225 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 60.632225 0.942252 4.000000 -60.632225 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 87.916623 0.938127 4.000000 -87.916623 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 86.906090 0.934002 4.000000 -86.906090 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 64.674358 0.929877 4.000000 -64.674358 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 64.674358 0.925752 4.000000 -64.674358 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 60.632225 0.921628 4.000000 -60.632225 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 81.853424 0.917503 4.000000 -81.853424 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 80.842890 0.913378 4.000000 -80.842890 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 61.642758 0.909253 4.000000 -61.642758 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 65.684891 0.905128 4.000000 -65.684891 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 61.642758 0.901003 4.000000 -61.642758 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 84.885023 0.896878 4.000000 -84.885023 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 75.790224 0.892754 4.000000 -75.790224 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 61.642758 0.888629 4.000000 -61.642758 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 66.695425 0.884504 4.000000 -66.695425 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 70.737558 0.880379 4.000000 -70.737558 0.000000 0.000000
0.200000 53.678198 300.000000 0.000000 0.000000 73.769158 0.876254 4.000000 -20.090959 0.000000 0.000000
0.200000 110.782846 0.000000 0.000000 -3.665953 107.116893 0.872129 1.000000 3.665953 0.000000 0.000000
0.200286 169.142386 0.000000 0.000000 -63.036164 106.106222 0.872129 1.000000 63.036164 0.000000 0.000000
0.205211 228.294667 0.000000 0.000000 -100.967048 127.327619 0.872129 1.000000 100.967048 0.000000 0.000000
0.213099 408.852827 0.000000 0.000000 -220.893089 187.959737 0.872129 1.000000 220.893089 0.000000 0.000000
0.230356 592.299220 0.000000 0.000000 -394.234120 198.065100 0.872129 1.000000 394.234120 0.000000 0.000000
0.261156 777.589681 0.000000 0.000000 -629.040787 148.548894 0.872129 1.000000 629.040787 0.000000 0.000000
0.310300 964.181614 0.000000 0.000000 -791.379906 172.801708 0.872129 1.000000 791.379906 0.000000 0.000000
0.372126 1105.919159 0.000000 0.000000 -939.180712 166.738447 0.872129 1.000000 939.180712 0.000000 0.000000
0.445500 1248.041758 0.000000 0.000000 -1111.619308 136.422449 0.872129 1.000000 1111.619308 0.000000 0.000000
0.532345 1390.470688 0.000000 0.000000 -1232.826995 157.643694 0.872129 1.000000 1232.826995 0.000000 0.000000
0.628660 1533.143061 0.000000 0.000000 -1260.298285 272.844776 0.872129 1.000000 1260.298285 0.000000 0.000000
0.727120 1664.976411 0.000000 0.000000 -932.857633 156.633114 0.872129 1.000000 1508.343297 0.000000 575.485664
0.800000 1796.998368 0.000000 1622.175625 0.000000 174.822744 0.872129 2.000000 1622.175625 0.000000 0.000000
0.800000 1929.179999 0.000000 1747.283553 0.000000 181.896446 0.876505 2.000000 1747.283553 0.000000 0.000000
0.800000 2061.496249 0.000000 1864.441666 0.000000 197.054582 0.881102 2.000000 1864.441666 0.000000 0.000000
0.800000 1772.673466 0.000000 1586.734841 0.000000 185.938625 0.885900 2.000000 1586.734841 0.000000 0.000000
0.800000 1485.043200 0.000000 1314.262605 0.000000 170.780595 0.890212 2.000000 1314.262605 0.000000 0.000000
0.800000 1198.950201 0.000000 1003.916700 0.000000 195.033501 0.894008 2.000000 1003.916700 0.000000 0.000000
0.800000 914.900925 0.000000 759.278344 0.000000 155.622581 0.897156 2.000000 759.278344 0.000000 0.000000
0.800000 863.576523 0.000000 705.932875 0.000000 157.643648 0.899733 2.000000 705.932875 0.000000 0.000000
0.800000 812.400421 0.000000 0.000000 0.000000 428.467357 0.902175 8.000000 383.933064 0.000000 383.933064
0.800000 761.379908 300.000000 0.000000 0.000000 909.482612 0.902175 4.000000 -148.102704 0.000000 0.000000
0.800000 710.523195 300.000000 0.000000 0.000000 669.985525 0.898050 4.000000 40.537670 0.000000 0.000000
0.800000 665.565126 486.700250 0.000000 0.000000 178.864877 0.893925 4.000000 486.700250 0.000000 0.000000
0.800000 620.738518 501.495256 0.000000 0.000000 119.243261 0.889321 4.000000 501.495256 0.000000 0.000000
0.800000 576.051764 0.000000 454.787421 0.000000 121.264343 0.883998 2.000000 454.787421 0.000000 0.000000
0.800000 531.514502 0.000000 348.607431 0.000000 182.907071 0.885749 2.000000 348.607431 0.000000 0.000000
0.800000 426.602158 0.000000 284.116556 0.000000 142.485603 0.887168 2.000000 284.116556 0.000000 0.000000
0.800000 322.715234 0.000000 101.407762 0.000000 221.307473 0.888369 2.000000 101.407762 0.000000 0.000000
0.800000 220.184321 300.000000 0.000000 622.602942 842.787264 0.888861 5.000000 -622.602942 0.000000 0.000000
0.751359 119.655310 300.000000 0.000000 734.247819 853.903130 0.884736 5.000000 -734.247819 0.000000 0.000000
0.693996 88.530724 300.000000 0.000000 140.861015 229.391739 0.880611 5.000000 -140.861015 0.000000 0.000000
0.682991 57.885663 300.000000 0.000000 24.978294 82.863957 0.876486 5.000000 -24.978294 0.000000 0.000000
0.681040 27.975730 300.000000 0.000000 0.000000 82.863957 0.872361 4.000000 -54.888226 0.000000 0.000000
0.681040 0.000000 300.000000 0.000000 0.000000 54.569026 0.868236 4.000000 -54.569026 0.000000 0.000000
0.681040 0.000000 300.000000 0.000000 0.000000 61.642758 0.864112 4.000000 -61.642758 0.000000 0.000000
0.681040 0.000000 300.000000 0.000000 0.000000 78.821824 0.859987 4.000000 -78.821824 0.000000 0.000000
0.681040 0.000000 300.000000 0.000000 0.000000 67.705958 0.855862 4.000000 -67.705958 0.000000 0.000000
0.681040 0.000000 300.000000 0.000000 0.000000 63.663825 0.851737 4.000000 -63.663825 0.000000 0.000000
0.681040 0.000000 300.000000 0.000000 0.000000 45.474226 0.847612 4.000000 -45.474226 0.000000 0.000000
